session,start,end,paperUID,posterNumber
pldi_talks4A,2021-06-24T17:45:00-00:00,2021-06-24T17:50:00-00:00,pldi.297,
pldi_talks4A,2021-06-24T17:50:00-00:00,2021-06-24T17:55:00-00:00,pldi.577,
pldi_talks4A,2021-06-24T17:55:00-00:00,2021-06-24T18:00:00-00:00,pldi.650,
pldi_talks4A,2021-06-24T18:00:00-00:00,2021-06-24T18:05:00-00:00,pldi.520,
pldi_talks4B,2021-06-24T17:30:00-00:00,2021-06-24T17:35:00-00:00,pldi.734,
pldi_talks4B,2021-06-24T17:35:00-00:00,2021-06-24T17:40:00-00:00,pldi.99,
pldi_talks4B,2021-06-24T17:40:00-00:00,2021-06-24T17:45:00-00:00,pldi.763,
pldi_talks4B,2021-06-24T17:45:00-00:00,2021-06-24T17:50:00-00:00,pldi.30,
pldi_talks4B,2021-06-24T17:50:00-00:00,2021-06-24T17:55:00-00:00,pldi.12,
pldi_talks4B,2021-06-24T17:55:00-00:00,2021-06-24T18:00:00-00:00,pldi.485,
pldi_talks4B,2021-06-24T18:00:00-00:00,2021-06-24T18:05:00-00:00,pldi.67,
pldi_posters4,,,pldi.457,40
pldi_posters4,,,pldi.228,53
pldi_posters4,,,pldi.430,64
pldi_posters4,,,pldi.297,46
pldi_posters4,,,pldi.577,45
pldi_posters4,,,pldi.650,38
pldi_posters4,,,pldi.520,63
pldi_posters4,,,pldi.734,54
pldi_posters4,,,pldi.99,47
pldi_posters4,,,pldi.763,61
pldi_posters4,,,pldi.30,62
pldi_posters4,,,pldi.12,39
pldi_posters4,,,pldi.485,55
pldi_posters4,,,pldi.67,56
pldi_talks5A,2021-06-25T13:00:00-00:00,2021-06-25T13:05:00-00:00,pldi.76,
pldi_talks5A,2021-06-25T13:05:00-00:00,2021-06-25T13:10:00-00:00,pldi.243,
pldi_talks5A,2021-06-25T13:10:00-00:00,2021-06-25T13:15:00-00:00,pldi.355,
pldi_talks5A,2021-06-25T13:15:00-00:00,2021-06-25T13:20:00-00:00,pldi.717,
pldi_talks5A,2021-06-25T13:20:00-00:00,2021-06-25T13:25:00-00:00,pldi.166,
pldi_talks5A,2021-06-25T13:25:00-00:00,2021-06-25T13:30:00-00:00,pldi.332,
pldi_talks5A,2021-06-25T13:30:00-00:00,2021-06-25T13:35:00-00:00,pldi.337,
pldi_talks5A,2021-06-25T13:35:00-00:00,2021-06-25T13:40:00-00:00,pldi.645,
