UID,title,start,end,trackUID,gather,zoom,info_link,category
pldi_talks5A,Talks 5A: Machine Learning and Probabilistic Programming,2021-06-25T13:00:00+00:00,2021-06-25T13:40:00+00:00,pldi-A,,,/papers.html?session=Technical+Talks+5A,paper-session
pldi_talks5B,Talks 5B: Defect Detection and Repair,2021-06-25T13:00:00+00:00,2021-06-25T13:40:00+00:00,pldi-B,,,/papers.html?session=Technical+Talks+5B,paper-session
pldi_posters5,Poster Session 5,2021-06-25T13:40:00+00:00,2021-06-25T14:30:00+00:00,,Gather,,/papers.html?session=Posters+5,poster
pldi_invite3,Invited Talk: Michelle Strout (HPE and University of Arizona) -- live Q&A,2021-06-25T14:30:00+00:00,2021-06-25T15:30:00+00:00,pldi-A,,,/plenary.html#plenary_3,plenary
pldi_ama_2,"AMA: Madan Musuvathi (MSR), Philippa Gardner (Imperial College London), Rustan Leino (Amazon) -- live Q&A",2021-06-25T16:30:00+00:00,2021-06-25T17:30:00+00:00,pldi-A,,,/plenary.html#tab-amas,plenary
pldi_talks6A,Talks 6A: Language Implementation,2021-06-25T17:30:00+00:00,2021-06-25T18:05:00+00:00,pldi-A,,,/papers.html?session=Technical+Talks+6A,paper-session
pldi_talks6B,Talks 6B: Applied Logics and Semantics,2021-06-25T17:30:00+00:00,2021-06-25T18:05:00+00:00,pldi-B,,,/papers.html?session=Technical+Talks+6B,paper-session
pldi_posters6,Poster Session 6,2021-06-25T18:05:00+00:00,2021-06-25T19:00:00+00:00,,Gather,,/papers.html?session=Posters+6,poster
pldi_invite_milner,Invited Talk: Robin Milner Young Researcher Award -- live Q&A,2021-06-25T15:00:00-04:00,2021-06-25T16:00:00-04:00,pldi-A,,,/plenary.html#plenary_milner,plenary
# Friday mirror,,,,,,,,
pldi_talks5A_mirror,Talks 5A: Machine Learning and Probabilistic Programming,2021-06-26T01:00:00+00:00,2021-06-26T01:40:00+00:00,pldi-A,,,/papers.html?session=Technical+Talks+5A,paper-session
pldi_talks5B_mirror,Talks 5B: Defect Detection and Repair,2021-06-26T01:00:00+00:00,2021-06-26T01:40:00+00:00,pldi-B,,,/papers.html?session=Technical+Talks+5B,paper-session
pldi_posters5_mirror,Poster Session 5,2021-06-26T01:40:00+00:00,2021-06-26T02:30:00+00:00,,Gather,,/papers.html?session=Posters+5,poster
pldi_invite3_mirror,Invited Talk: Michelle Strout (HPE and University of Arizona),2021-06-26T02:30:00+00:00,2021-06-26T03:30:00+00:00,pldi-A,,,/plenary.html#plenary_3,plenary
pldi_ama_2_mirror,"AMA: Sukyoung Ryu (KAIST), Joxan Jaffar (National University of Singapore) -- live Q&A",2021-06-26T04:30:00+00:00,2021-06-26T05:30:00+00:00,pldi-A,,,plenary.html#tab-amas,plenary
pldi_talks6A_mirror,Talks 6A: Language Implementation,2021-06-26T05:30:00+00:00,2021-06-26T06:05:00+00:00,pldi-A,,,/papers.html?session=Technical+Talks+6A,paper-session
pldi_talks6B_mirror,Talks 6B: Applied Logics and Semantics,2021-06-26T05:30:00+00:00,2021-06-26T06:05:00+00:00,pldi-B,,,/papers.html?session=Technical+Talks+6B,paper-session
pldi_posters6_mirror,Poster Session 6,2021-06-26T06:05:00+00:00,2021-06-26T07:00:00+00:00,,Gather,,/papers.html?session=Posters+6,poster
pldi_invite_milner_mirror,Invited Talk: Robin Milner Young Researcher Award,2021-06-26T07:00:00+00:00,2021-06-26T08:00:00+00:00,pldi-A,,,/plenary.html#plenary_milner,plenary
