ID,Name,Email,Title,Status,Presentation lD
planqc.2,"Kesha Hietala, Liyi Li, Akshaj Gaur, Aaron Green, Robert Rand, Xiaodi Wu, Michael Hicks",,Applying and Expanding the VOQC Toolkit,finished,38956859
planqc.3,"Finn Voichick, Michael Hicks",,Toward A Quantum Programming Language for Higher-Level Formal Verification,finished,38956860
planqc.4,"Giulia De Santis, Roberto Giacobazzi, Margherita Zorzi",,qKleene: Verification of Quantum RAM Made Easy,finished,38956861
planqc.5,Matt Amy,,PLanQC TBD,incoming,38956862
planqc.6,Matt Amy,,PLanQC TBD,incoming,38956863
planqc.7,Matt Amy,,PLanQC TBD,incoming,38956864
planqc.8,Matt Amy,,PLanQC TBD,incoming,38956865
pldi.106.long,"Paschalis Mpeis, Pavlos Petoumenos, Kim Hazelwood, Hugh Leather",,Developer and User-Transparent Compiler Optimization for Interactive Applications,finished,38956268
pldi.106.short,"Paschalis Mpeis, Pavlos Petoumenos, Kim Hazelwood, Hugh Leather",,Developer and User-Transparent Compiler Optimization for Interactive Applications,finished,38956181
pldi.111.long,"Benno Stein, Bor-Yuh Evan Chang, Manu Sridharan",,Demanded Abstract Interpretation,finished,38956269
pldi.111.short,"Benno Stein, Bor-Yuh Evan Chang, Manu Sridharan",,Demanded Abstract Interpretation,finished,38956182
pldi.112.long,"Jingxuan He, Cheng-Chun Lee, Veselin Raychev, Martin Vechev",,Learning to Find Naming Issues with Big Code and Small Supervision,incoming,38956270
pldi.112.short,"Jingxuan He, Cheng-Chun Lee, Veselin Raychev, Martin Vechev",,Learning to Find Naming Issues with Big Code and Small Supervision,finished,38956183
pldi.115.long,"Michael Fischer, Giovanni Campagna, Euirim Choi, Monica S. Lam",,DIY Assistant: A Multi-modal End-User Programmable Virtual Assistant,incoming,38956271
pldi.115.short,"Michael Fischer, Giovanni Campagna, Euirim Choi, Monica S. Lam",,DIY Assistant: A Multi-modal End-User Programmable Virtual Assistant,finished,38956184
pldi.12.long,"Tamás Szabó, Sebastian Erdweg, Gábor Bergmann",,Incremental Whole-Program Analysis in Datalog with Lattices,finished,38956251
pldi.12.short,"Tamás Szabó, Sebastian Erdweg, Gábor Bergmann",,Incremental Whole-Program Analysis in Datalog with Lattices,finished,38956164
pldi.121.long,"Qiaochu Chen, Aaron Lamoreaux, Xinyu Wang, Greg Durrett, Osbert Bastani, Isil Dillig",,Web Question Answering with Neurosymbolic Program Synthesis,finished,38956272
pldi.121.short,"Qiaochu Chen, Aaron Lamoreaux, Xinyu Wang, Greg Durrett, Osbert Bastani, Isil Dillig",,Web Question Answering with Neurosymbolic Program Synthesis,finished,38956185
pldi.124.long,"Sankha Narayan Guria, Jeffrey S. Foster, David Van Horn",,RbSyn: Type- and Effect-Guided Program Synthesis,finished,38956273
pldi.124.short,"Sankha Narayan Guria, Jeffrey S. Foster, David Van Horn",,RbSyn: Type- and Effect-Guided Program Synthesis,finished,38956186
pldi.126.long,"Jay P. Lim, Santosh Nagarakatte",,High Performance Correctly Rounded Math Libraries for 32-bit Floating Point Representations,finished,38956274
pldi.126.short,"Jay P. Lim, Santosh Nagarakatte",,High Performance Correctly Rounded Math Libraries for 32-bit Floating Point Representations,finished,38956187
pldi.127.long,"Meghan Cowan, Deeksha Dangwal, Armin Alaghi, Caroline Trippel, Vincent T. Lee, Brandon Reagen",,Porcupine: A Synthesizing Compiler for Vectorized Homomorphic Encryption,incoming,38956275
pldi.127.short,"Meghan Cowan, Deeksha Dangwal, Armin Alaghi, Caroline Trippel, Vincent T. Lee, Brandon Reagen",,Porcupine: A Synthesizing Compiler for Vectorized Homomorphic Encryption,finished,38956188
pldi.130.long,"Ridwan Shariffdeen, Yannic Noller, Lars Grunske, Abhik Roychoudhury",,Concolic Program Repair,finished,38956276
pldi.130.short,"Ridwan Shariffdeen, Yannic Noller, Lars Grunske, Abhik Roychoudhury",,Concolic Program Repair,finished,38956189
pldi.144.long,"Sebastian Erdweg, Tamás Szabó, André Pacak",,"Concise, Type-Safe, and Efficient Structural Diffing",incoming,38956277
pldi.144.short,"Sebastian Erdweg, Tamás Szabó, André Pacak",,"Concise, Type-Safe, and Efficient Structural Diffing",finished,38956190
pldi.145.long,"Sam Lasser, Chris Casinghino, Kathleen Fisher, Cody Roux",,CoStar: A Verified ALL(*) Parser,incoming,38956278
pldi.145.short,"Sam Lasser, Chris Casinghino, Kathleen Fisher, Cody Roux",,CoStar: A Verified ALL(*) Parser,finished,38956191
pldi.149.long,"Guixin Ye, Zhanyong Tang, Shin Hwei Tan, Songfang Huang, Dingyi Fang, Xiaoyang Sun, Lizhong Bian, Haibo Wang, Zheng Wang",,Automated Conformance Testing for JavaScript Engines via Deep Compiler Fuzzing,incoming,38956279
